Unnamed: 0,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost,Turnover,TenureDays
1747,Adelaide,Herman,2022-02-08,,Production Technician I,Mark Moore,adelaide.herman@bilearner.com,EW,Active,Full-Time,Zone B,Temporary,Unk,,Production       ,General - Eng,29-12-1970,MA,Coordinator,Female,6918,Black,Married,Exceeds,3,2174,25-12-2022,1,1,5,13-Nov-22,Technical Skills,External,Incomplete,Hernandezport,Thomas Elliott,2,446.22,0,544
1748,Kason,Ellison,2019-12-16,2020-06-21,Production Technician I,Julia Mitchell,kason.ellison@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Voluntary,Somebody include mention staff determine.,Production       ,Field Operations,02-10-1987,MA,Technician,Female,71740,Hispanic,Widowed,Exceeds,2,2175,16-03-2023,1,3,3,22-Feb-23,Communication Skills,External,Completed,East Maria,Charles Rush,2,512.6,1,188
1749,Tyree,Weaver,2021-10-07,,Production Technician I,Theresa Welch,tyree.weaver@bilearner.com,TNS,Active,Full-Time,Zone B,Full-Time,Unk,,Production       ,Field Operations,22-12-1988,MA,Foreman,Female,4056,Asian,Married,Exceeds,2,2176,29-04-2023,2,1,1,19-Apr-23,Communication Skills,External,Completed,Bennettchester,Michael Montgomery,5,357.52,0,668
1750,Landen,Figueroa,2020-12-23,,Production Technician I,Nicholas Robertson,landen.figueroa@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,Catv,02-09-1951,MA,Supervisor,Male,35807,Asian,Single,PIP,4,2177,17-10-2022,4,2,1,07-Jul-23,Customer Service,External,Passed,Amberhaven,Christina Nguyen,4,616.66,0,956
1751,Francis,Robbins,2022-11-01,,Production Technician I,Amy Hinton,francis.robbins@bilearner.com,WBL,Active,Contract,Zone B,Part-Time,Unk,,Production       ,Fielders,30-08-1990,MA,Engineer,Female,86281,Hispanic,Married,PIP,4,2178,11-09-2022,4,1,5,08-May-23,Communication Skills,Internal,Completed,Lindseyville,John Lowe,5,368.55,0,278
1752,Raphael,Solomon,2022-10-28,2023-05-27,Production Technician I,Christopher Gardner,raphael.solomon@bilearner.com,NEL,Voluntarily Terminated,Contract,Zone B,Full-Time,Retirement,Tree read security individual.,Production       ,Project Management - Con,04-01-1996,MA,Supervisor,Female,28181,Black,Widowed,PIP,4,2179,16-06-2023,1,3,1,08-Sep-22,Leadership Development,External,Passed,Andersonport,Shannon Norman,4,937.57,1,211
1753,Zariah,Castaneda,2018-11-03,2023-05-03,Production Technician I,Elizabeth Koch,zariah.castaneda@bilearner.com,PL,Active,Full-Time,Zone A,Full-Time,Resignation,Cultural later per thank.,Production       ,Field Operations,10-08-1980,MA,Technician,Female,74027,Hispanic,Widowed,PIP,5,2180,29-05-2023,4,4,4,05-Feb-23,Technical Skills,External,Incomplete,West Danielland,Daniel Bennett,4,706.08,1,1642
1754,Trevin,Lambert,2019-03-05,2020-03-16,Production Technician I,Nathaniel Harvey,trevin.lambert@bilearner.com,BPC,Active,Contract,Zone A,Temporary,Resignation,Every maybe feel court.,Production       ,Field Operations,13-08-1991,MA,Foreman,Female,94011,Black,Single,PIP,5,2181,04-02-2023,2,1,4,28-Jun-23,Communication Skills,Internal,Incomplete,East Arthurtown,Brendan Francis,2,542.94,1,377
1755,Nathalie,Hays,2021-03-14,,Production Technician I,Sharon Thompson,nathalie.hays@bilearner.com,CCDR,Active,Full-Time,Zone A,Part-Time,Unk,,Production       ,General - Eng,20-01-1992,MA,Engineer,Female,96129,Black,Widowed,Exceeds,4,2182,12-04-2023,1,1,2,22-Jul-23,Communication Skills,External,Completed,Jenniferland,Steven Ingram,2,105.18,0,875
1756,Bria,Bush,2018-12-13,,Production Technician I,Vickie Garrett,bria.bush@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Unk,,Production       ,Finance & Accounting,12-09-1949,MA,Manager,Female,81415,White,Divorced,Exceeds,5,2183,13-12-2022,4,4,2,23-Apr-23,Communication Skills,External,Completed,North Vanessaland,Jasmine Parks,3,287.3,0,1697
1757,Mason,Brewer,2021-09-05,2023-03-31,Production Technician I,Jeremy Ritter,mason.brewer@bilearner.com,EW,Active,Full-Time,Zone C,Part-Time,Retirement,Line operation form notice.,Production       ,Aerial,20-02-1984,MA,Laborer,Female,22258,Other,Divorced,Exceeds,2,2184,09-03-2023,2,4,4,25-Sep-22,Communication Skills,External,Failed,Maynardfort,Summer Brown,3,661.36,1,572
1758,Salvatore,Snyder,2020-05-17,2022-02-18,Production Technician II,Todd Henson,salvatore.snyder@bilearner.com,WBL,Voluntarily Terminated,Contract,Zone A,Full-Time,Involuntary,Lawyer her author poor. Person determine before.,Production       ,Aerial,21-04-1959,MA,Groundman,Female,13138,Asian,Single,Exceeds,5,2185,07-11-2022,4,5,5,01-Aug-23,Customer Service,Internal,Incomplete,East Carrie,David Ruiz,5,220.95,1,642
1759,Vivian,Hickman,2023-03-03,2023-03-23,Production Technician II,Nathan Bush,vivian.hickman@bilearner.com,NEL,Active,Part-Time,Zone A,Temporary,Voluntary,Speech street suggest call edge.,Production       ,Field Operations,17-05-1997,MA,Technician,Male,74447,Hispanic,Married,Exceeds,1,2186,17-09-2022,4,1,1,21-Sep-22,Leadership Development,External,Failed,West Michael,Kari Davis,5,747.61,1,20
1760,Amaris,Kirk,2020-02-28,,Production Technician II,Erica Wilson,amaris.kirk@bilearner.com,PL,Active,Part-Time,Zone B,Full-Time,Unk,,Production       ,Engineers,26-01-1998,MA,Program Manager,Female,31571,Hispanic,Married,Exceeds,5,2187,14-01-2023,2,1,5,07-Jun-23,Communication Skills,Internal,Completed,Gilesstad,Christopher Maxwell,1,575.77,0,1255
1761,Grant,York,2021-02-11,2023-06-28,Production Technician II,Patrick Garner,grant.york@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Involuntary,Minute accept the must.,Production       ,Field Operations,21-02-1965,MA,Laborer,Female,1509,Black,Married,Exceeds,2,2188,25-01-2023,5,4,2,17-Jun-23,Leadership Development,Internal,Incomplete,Lake Veronicabury,Monica Fox,2,754.8,1,867
1762,Tyree,Mahoney,2019-01-25,,Production Technician II,Daniel Mullins,tyree.mahoney@bilearner.com,CCDR,Active,Part-Time,Zone B,Temporary,Unk,,Production       ,Shop (Fleet),04-07-1944,MA,Shop,Female,15861,White,Divorced,Needs Improvement,5,2189,19-08-2022,1,2,4,28-Nov-22,Customer Service,External,Passed,Lake Scott,Seth Rice,2,585.65,0,1654
1763,Kimberly,Horn,2023-04-25,2023-06-15,Production Technician II,Steven Kennedy,kimberly.horn@bilearner.com,SVG,Active,Part-Time,Zone C,Full-Time,Voluntary,Ago determine fact itself. Act employee but.,Production       ,General - Con,20-01-1985,MA,Laborer,Female,46637,Asian,Single,Needs Improvement,5,2190,31-03-2023,5,2,3,29-Apr-23,Technical Skills,Internal,Completed,Lake Elizabeth,Patricia King,2,623.98,1,51
1764,Paul,Moreno,2021-02-14,2023-04-19,Production Technician II,Joshua Nguyen,paul.moreno@bilearner.com,EW,Active,Contract,Zone C,Part-Time,Retirement,Kid oil news part.,Production       ,Engineers,19-11-1971,MA,Engineer,Female,47342,Asian,Married,Needs Improvement,5,2191,11-04-2023,2,2,3,13-May-23,Communication Skills,Internal,Failed,Smithside,Ronald Jackson,3,774.02,1,794
1765,Macey,Christian,2020-10-07,2023-01-18,Production Technician II,Robert Wallace,macey.christian@bilearner.com,MSC,Active,Part-Time,Zone C,Part-Time,Voluntary,Economy instead sense.,Production       ,General - Con,29-06-1945,MA,Administration,Female,41219,Black,Divorced,Needs Improvement,1,2192,26-12-2022,5,3,4,02-Oct-22,Leadership Development,External,Completed,New Edwinville,Billy Kelly,4,866.14,1,833
1766,Joel,Bowen,2019-02-28,2023-06-01,Production Technician I,Carol Ingram,joel.bowen@bilearner.com,NEL,Voluntarily Terminated,Part-Time,Zone A,Part-Time,Involuntary,Design and respond dog true knowledge.,Production       ,Field Operations,01-08-1963,MA,Laborer,Male,67704,White,Married,Needs Improvement,4,2193,10-07-2023,2,2,3,16-Jul-23,Technical Skills,External,Incomplete,Nelsonport,Eric Jarvis,2,704.42,1,1554
1767,Isis,Vega,2019-07-27,,Production Technician I,Deanna Diaz,isis.vega@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Unk,,Production       ,Field Operations,18-02-1992,MA,Laborer,Female,57434,Other,Widowed,Needs Improvement,2,2194,02-10-2022,1,4,1,08-Mar-23,Customer Service,External,Incomplete,North Suzanne,Joseph Bell,5,164.41,0,1471
1768,Josie,Mercer,2023-06-02,2023-07-07,Production Technician I,Traci Dillon,josie.mercer@bilearner.com,BPC,Active,Contract,Zone C,Part-Time,Voluntary,Popular but sort training region everybody.,Production       ,Underground,31-10-1954,MA,Laborer,Female,46366,Black,Single,Needs Improvement,2,2195,30-11-2022,1,5,1,08-May-23,Project Management,External,Failed,East Matthew,Traci Costa,3,559.87,1,35
1769,Ellie,Ortega,2022-11-14,2023-01-04,Production Technician I,Steven Valdez,ellie.ortega@bilearner.com,CCDR,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Resignation,Part not culture news. Here enter must.,Production       ,Underground,25-06-1983,MA,Operator,Male,15989,White,Single,Needs Improvement,5,2196,01-08-2023,5,2,3,10-Dec-22,Technical Skills,External,Completed,Carrborough,Christine Cook,2,572.11,1,51
1770,Adrien,Maddox,2018-08-22,2021-11-10,Production Technician I,Tamara Humphrey,adrien.maddox@bilearner.com,SVG,Voluntarily Terminated,Contract,Zone C,Full-Time,Involuntary,Two job continue often public often.,Production       ,Wireline Construction,12-04-1983,MA,Operator,Female,77437,Asian,Divorced,Needs Improvement,4,2197,15-04-2023,2,3,1,17-Mar-23,Technical Skills,External,Passed,Lake Jameschester,Harry Gibson,2,724.83,1,1176
1771,Landyn,Velez,2022-12-15,2022-12-29,Production Technician I,Joseph Bell,landyn.velez@bilearner.com,EW,Active,Contract,Zone B,Temporary,Retirement,Friend country free.,Production       ,Field Operations,01-07-1963,MA,Driver,Female,63184,White,Single,Exceeds,1,2198,13-07-2023,2,4,2,14-Aug-22,Leadership Development,Internal,Failed,Deanland,Melissa Perkins,5,198.35,1,14
1772,Lilly,Haynes,2020-05-31,,Production Technician I,Catherine Spencer,lilly.haynes@bilearner.com,MSC,Active,Full-Time,Zone C,Full-Time,Unk,,Production       ,General - Con,10-07-1977,MA,Manager,Female,15120,White,Divorced,Exceeds,4,2199,03-06-2023,4,3,4,19-Jun-23,Project Management,External,Passed,West Angelabury,Samuel Henry,3,142.7,0,1162
1773,Bianca,Cardenas,2022-07-19,,Production Technician I,Raven Jackson,bianca.cardenas@bilearner.com,TNS,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Field Operations,15-03-1954,MA,Laborer,Female,4751,Asian,Single,Exceeds,4,2200,16-12-2022,3,1,5,29-Mar-23,Project Management,External,Incomplete,South Jamesburgh,Betty Cox,2,910.99,0,383
1774,Cayden,Bartlett,2020-07-01,,Production Technician I,Linda Mills,cayden.bartlett@bilearner.com,PYZ,Active,Contract,Zone C,Part-Time,Unk,,Production       ,Project Management - Con,27-06-1990,MA,Technician,Male,37225,Other,Married,Exceeds,2,2201,24-06-2023,5,1,5,15-Mar-23,Leadership Development,Internal,Completed,Jamesshire,Nathan Williams,4,863.83,0,1131
1775,Desiree,Walker,2020-11-18,,Production Technician I,Sandra Hawkins,desiree.walker@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Project Management - Con,01-01-1969,MA,Project Manager,Female,92017,Asian,Married,Exceeds,4,2202,24-06-2023,5,4,5,08-Sep-22,Customer Service,Internal,Completed,New Bobbyville,Andrea Beck,4,606.57,0,991
1776,Colton,Le,2020-02-29,2021-05-20,Production Technician I,Richard Jones,colton.le@bilearner.com,NEL,Voluntarily Terminated,Contract,Zone A,Part-Time,Involuntary,Together three executive compare.,Production       ,General - Con,05-04-1986,MA,Technician,Female,42742,Asian,Married,Exceeds,1,2203,29-08-2022,1,4,1,14-Dec-22,Technical Skills,External,Incomplete,West Markside,Raymond Chavez,2,333.27,1,446
1777,Leonidas,Bridges,2021-09-24,2022-01-28,Production Technician I,Lee Crawford,leonidas.bridges@bilearner.com,PL,Active,Part-Time,Zone B,Part-Time,Retirement,Natural event religious during article total.,Production       ,Shop (Fleet),23-10-1984,MA,Supervisor,Female,58905,Other,Divorced,Needs Improvement,2,2204,01-10-2022,5,2,3,27-Nov-22,Customer Service,Internal,Passed,Davidhaven,Matthew Lee,3,284.05,1,126
1778,Gia,Franco,2022-04-13,2023-07-30,Production Technician I,Jason Boyd,gia.franco@bilearner.com,BPC,Active,Full-Time,Zone B,Full-Time,Involuntary,Article machine reflect land lose simply medical.,Production       ,General - Sga,13-01-1944,MA,Administrator,Female,32235,Black,Divorced,Needs Improvement,4,2205,05-09-2022,2,3,5,23-Jun-23,Leadership Development,Internal,Incomplete,Bryanville,Mitchell Rogers,1,271.69,1,473
1779,Audrina,Williams,2022-10-25,,Production Technician I,Tracey Scott,audrina.williams@bilearner.com,CCDR,Active,Contract,Zone A,Temporary,Unk,,Production       ,Field Operations,09-01-1942,MA,Tower Hand,Female,40461,Other,Widowed,Needs Improvement,5,2206,24-08-2022,2,4,3,16-Sep-22,Technical Skills,Internal,Completed,Dustinside,Elizabeth Fischer,3,274.22,0,285
1780,Sam,Knight,2021-01-27,,Production Technician I,Juan Owens,sam.knight@bilearner.com,SVG,Active,Full-Time,Zone C,Full-Time,Unk,,Production       ,Field Operations,06-06-1953,MA,Welder,Female,97669,Black,Divorced,Needs Improvement,5,2207,29-03-2023,3,3,1,26-Jun-23,Project Management,External,Incomplete,Jonesstad,Christine Stevens,1,448.93,0,921
1781,Lisa,Galia,2018-09-21,,IT Support,Keith Fisher,lisa.galia@bilearner.com,WBL,Active,Full-Time,Zone B,Full-Time,Unk,,IT/IS,Fielders,20-10-1948,CT,Technician,Female,6040,Other,Married,Needs Improvement,5,2208,07-03-2023,5,3,3,02-Sep-22,Technical Skills,Internal,Incomplete,Marthamouth,Susan Shelton,3,907.13,0,1780
1782,Rick,Clayton,2020-04-14,,IT Support,Aaron Ramos,rick.clayton@bilearner.com,PYZ,Active,Part-Time,Zone C,Part-Time,Unk,,IT/IS,Wireline Construction,30-08-2000,MA,Groundman,Male,2170,Black,Widowed,Needs Improvement,5,2209,01-04-2023,2,2,5,02-Nov-22,Technical Skills,External,Completed,Richardsville,David Anderson,3,545.69,0,1209
1783,Julia,Soto,2021-05-31,2022-10-31,IT Support,Kimberly Frazier,julia.soto@bilearner.com,PL,Active,Part-Time,Zone C,Temporary,Resignation,Quite able race more friend voice choice.,IT/IS,Wireline Construction,12-02-1965,MA,Vp,Female,2360,Black,Single,Exceeds,4,2210,09-01-2023,1,5,3,17-Jul-23,Technical Skills,Internal,Completed,Schmittbury,Charles Garner,5,220.14,1,518
1784,Leonara,Lindsay,2020-04-10,,IT Support,Matthew Wood,leonara.lindsay@bilearner.com,WBL,Active,Contract,Zone C,Temporary,Unk,,IT/IS,Field Operations,24-08-1971,CT,Administrator,Female,6070,White,Married,Exceeds,5,2211,01-02-2023,1,5,3,21-Nov-22,Leadership Development,External,Completed,North Sonyatown,James Fox,3,906.62,0,1213
1785,Savanna,Mayo,2022-07-03,2023-03-22,IT Support,Amber Hoffman,savanna.mayo@bilearner.com,MSC,Active,Full-Time,Zone C,Part-Time,Involuntary,Possible shake fall type discover expert.,IT/IS,Field Operations,11-05-1991,MA,Cfo,Female,74179,White,Widowed,Exceeds,1,2212,26-07-2023,4,1,5,19-Jul-23,Technical Skills,Internal,Incomplete,Frankside,David Flores,1,160.81,1,262
1786,Branden,Khan,2023-03-15,2023-05-10,IT Support,David Kennedy,branden.khan@bilearner.com,EW,Active,Part-Time,Zone A,Full-Time,Retirement,You suggest area.,IT/IS,Shop (Fleet),03-09-1965,MA,Shop,Female,8415,Asian,Married,Exceeds,5,2213,05-05-2023,1,4,2,09-Apr-23,Technical Skills,Internal,Passed,North Benjamin,Lindsey Warner,1,196.03,1,56
1787,Aiden,Wade,2021-07-29,2022-08-12,IT Support,Amber Johnson,aiden.wade@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,Resignation,Religious far child break thought watch.,IT/IS,Field Operations,22-10-1951,MA,Tower Hand,Female,8196,Black,Married,Exceeds,4,2214,26-02-2023,1,1,5,16-Mar-23,Leadership Development,Internal,Passed,Emilyview,Lori Stout,4,973.62,1,379
1788,Conrad,Ochoa,2022-02-05,2023-01-13,IT Support,Susan Kelly,conrad.ochoa@bilearner.com,BPC,Active,Contract,Zone B,Temporary,Resignation,Ten when myself hit off.,IT/IS,Engineers,17-12-1962,MA,Engineer,Female,95814,Asian,Divorced,Exceeds,1,2215,24-04-2023,1,5,5,30-Sep-22,Customer Service,External,Failed,East Donnahaven,Andrea Rodriguez,3,227.0,1,342
1789,Jaylyn,Bruce,2022-11-09,,IT Manager - Support,Lynn Fry,jaylyn.bruce@bilearner.com,WBL,Active,Part-Time,Zone B,Temporary,Unk,,IT/IS,General - Con,10-02-1972,MA,Technician,Female,21899,Hispanic,Single,Exceeds,1,2216,13-04-2023,4,5,2,25-Dec-22,Customer Service,External,Incomplete,Torresburgh,Amanda Matthews,4,587.29,0,270
1790,Kaylie,Ayers,2020-11-23,2020-12-14,IT Manager - Infra,Donna Brown,kaylie.ayers@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Voluntary,Knowledge thank speak clearly.,IT/IS,People Services,21-07-1995,CT,Director,Female,52244,Hispanic,Divorced,Exceeds,4,2217,05-10-2022,2,1,2,23-Mar-23,Communication Skills,External,Failed,East Melissa,Albert Clark,1,315.39,1,21
1791,Abdullah,Arellano,2019-02-21,2022-10-21,IT Manager - DB,Jacob Christian,abdullah.arellano@bilearner.com,SVG,Active,Part-Time,Zone B,Part-Time,Resignation,Quality heavy security nature amount take room.,IT/IS,Field Operations,08-11-1967,MA,Foreman,Female,29237,Asian,Widowed,Exceeds,4,2218,10-10-2022,4,1,5,27-Dec-22,Technical Skills,Internal,Incomplete,Silvaville,Brian Turner,5,222.99,1,1338
1792,Hazel,Lane,2022-09-25,2023-05-06,IT Support,Lance Torres,hazel.lane@bilearner.com,SVG,Active,Part-Time,Zone C,Part-Time,Retirement,Past really million address again forget.,IT/IS,Wireline Construction,25-10-1966,MA,Laborer,Female,8635,Hispanic,Widowed,Exceeds,5,2219,29-03-2023,5,2,2,03-Jan-23,Technical Skills,External,Failed,Kimberlyshire,Abigail Gardner,5,401.35,1,223
1793,Lilah,Harrison,2022-09-17,,IT Support,Charles Johnson,lilah.harrison@bilearner.com,EW,Active,Contract,Zone B,Temporary,Unk,,IT/IS,General - Eng,03-09-1961,MA,Engineer,Female,30879,Asian,Married,Exceeds,4,2220,02-03-2023,3,3,5,02-Jun-23,Leadership Development,External,Completed,Lake Richard,Kristen Oliver,4,938.01,0,323
1794,Cedric,Sawyer,2019-05-31,,IT Support,Megan Walker,cedric.sawyer@bilearner.com,MSC,Active,Contract,Zone C,Part-Time,Unk,,IT/IS,Field Operations,14-11-1993,MA,Laborer,Female,49637,Hispanic,Single,Exceeds,4,2221,28-04-2023,1,5,1,07-Aug-22,Technical Skills,Internal,Incomplete,East Sarahland,Daniel Morris,1,737.04,0,1528
1795,Caiden,Lam,2020-07-21,2021-08-18,IT Support,Scott Thomas,caiden.lam@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Resignation,End trouble tonight amount page reach debate.,IT/IS,Wireline Construction,17-07-1998,MA,Laborer,Female,77955,Hispanic,Widowed,Exceeds,4,2222,14-09-2022,2,3,5,04-Jun-23,Project Management,External,Failed,Baldwinport,Ian Martin,3,303.01,1,393
1796,Isla,Hawkins,2020-07-04,,IT Manager - Support,Jason Smith,isla.hawkins@bilearner.com,BPC,Active,Full-Time,Zone C,Temporary,Unk,,IT/IS,Executive,18-02-1942,MA,Vp,Female,43748,Asian,Widowed,Exceeds,2,2223,23-05-2023,1,1,4,07-Apr-23,Communication Skills,External,Completed,North Crystalfort,Bonnie King,2,905.55,0,1128
1797,Hadley,Nash,2020-10-13,,IT Manager - Infra,Eric Clay,hadley.nash@bilearner.com,CCDR,Active,Full-Time,Zone A,Temporary,Unk,,IT/IS,Wireline Construction,14-01-1999,CT,Groundman,Female,8958,Asian,Divorced,Exceeds,4,2224,02-02-2023,2,1,3,23-Sep-22,Customer Service,Internal,Failed,Jacksonburgh,Edward Wood,2,914.52,0,1027
1798,Milo,Jensen,2023-05-01,,IT Manager - DB,Kimberly Rosales,milo.jensen@bilearner.com,EW,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,Engineers,03-12-1971,MA,Project Manager,Male,84923,Black,Divorced,Exceeds,2,2225,21-08-2022,1,2,2,09-Dec-22,Project Management,External,Passed,Bradleyland,Laura Li,3,789.98,0,97
1799,Zechariah,Strong,2019-03-22,2021-06-17,IT Support,Daniel Blake,zechariah.strong@bilearner.com,SVG,Active,Contract,Zone A,Full-Time,Resignation,Clearly rule suddenly.,IT/IS,General - Eng,07-09-1960,MA,Administrative,Female,73392,White,Married,Exceeds,1,2226,28-01-2023,4,4,5,10-Sep-22,Project Management,Internal,Completed,Stevenmouth,Mr. Justin Hardy,3,125.06,1,818
1800,Raymond,Maldonado,2021-12-27,,IT Support,Timothy Young,raymond.maldonado@bilearner.com,EW,Active,Contract,Zone B,Full-Time,Unk,,IT/IS,Aerial,05-06-1995,MA,Lineman,Female,13915,Black,Widowed,Needs Improvement,5,2227,18-09-2022,2,3,4,28-Apr-23,Project Management,Internal,Passed,East Joann,Sean Padilla,2,894.09,0,587
1801,Kayley,Romero,2018-08-12,2022-06-13,IT Support,Michael Webb,kayley.romero@bilearner.com,MSC,Active,Part-Time,Zone B,Part-Time,Resignation,Partner performance newspaper sense all where.,IT/IS,Wireless,16-09-1942,MA,Laborer,Female,58630,White,Divorced,PIP,4,2228,20-01-2023,3,2,2,21-Feb-23,Technical Skills,External,Passed,Pamelaport,Joseph Mays,3,713.03,1,1401
1802,Antonio,Gray,2022-12-28,,IT Support,Mitchell Wilson,antonio.gray@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Unk,,IT/IS,Underground,01-10-1977,MA,Laborer,Female,11746,Asian,Divorced,PIP,4,2229,22-04-2023,3,1,1,28-Jan-23,Communication Skills,Internal,Incomplete,Melissamouth,Tina Lee,5,897.51,0,221
1803,Kane,Mcfarland,2018-11-25,,IT Manager - Support,Jose Rivera,kane.mcfarland@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,General - Con,20-08-1972,CT,Supervisor,Female,51949,Hispanic,Married,Fully Meets,2,2230,09-06-2023,1,5,5,03-Aug-23,Project Management,External,Passed,Roberthaven,Diane Larson,3,634.34,0,1715
1804,Kylie,Ellis,2020-12-26,,IT Manager - Infra,Joshua Maxwell,kylie.ellis@bilearner.com,WBL,Active,Full-Time,Zone A,Part-Time,Unk,,IT/IS,General - Con,24-04-1990,CT,Laborer,Female,54795,Other,Single,Fully Meets,2,2231,04-01-2023,1,2,2,20-Apr-23,Technical Skills,Internal,Failed,Bowersbury,Lisa Edwards,3,352.54,0,953
1805,Jovan,Giles,2022-12-16,,IT Manager - DB,Whitney Small,jovan.giles@bilearner.com,NEL,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,Field Operations,05-10-1942,MA,Engineer,Male,79191,Hispanic,Single,Fully Meets,5,2232,19-11-2022,4,5,2,23-Mar-23,Customer Service,External,Completed,Angelaton,Scott Smith,4,128.25,0,233
1806,Sheldon,Castillo,2019-09-27,,IT Support,Wendy Khan,sheldon.castillo@bilearner.com,MSC,Active,Contract,Zone B,Full-Time,Unk,,IT/IS,Splicing,22-04-1977,MA,Lineman,Female,93777,Asian,Single,Fully Meets,1,2233,03-10-2022,5,1,1,13-Jun-23,Customer Service,Internal,Passed,Jenniferfurt,Monica Roberts,1,893.71,0,1409
1807,Ariel,Barnes,2021-02-20,2022-01-09,IT Support,William Phillips,ariel.barnes@bilearner.com,EW,Active,Part-Time,Zone C,Full-Time,Resignation,Particularly put occur. Approach often be.,IT/IS,Wireline Construction,26-02-1975,MA,Laborer,Female,87474,Black,Married,Fully Meets,2,2234,23-08-2022,1,1,4,04-Feb-23,Communication Skills,External,Completed,South Gina,Nancy Reyes,3,693.52,1,323
1808,Kyson,Grimes,2022-02-26,,IT Support,Elizabeth Peterson,kyson.grimes@bilearner.com,CCDR,Active,Full-Time,Zone B,Full-Time,Unk,,IT/IS,Shop (Fleet),31-08-1954,MA,Model Assistant,Female,37994,Other,Single,Fully Meets,1,2235,10-09-2022,3,5,3,09-Mar-23,Customer Service,Internal,Failed,North Evelyn,Sarah Mcpherson,1,162.62,0,526
1809,Princess,Long,2018-12-23,2021-10-11,IT Support,Amber Rocha,princess.long@bilearner.com,BPC,Active,Full-Time,Zone A,Temporary,Involuntary,Choice learn town themselves cup experience.,IT/IS,Engineers,28-10-1948,CT,Project Manager,Female,44145,Hispanic,Widowed,Fully Meets,1,2236,29-12-2022,2,1,2,13-Jul-23,Customer Service,External,Passed,New Deborahshire,Jason Garcia,2,144.74,1,1023
1810,Lyla,Wong,2022-01-10,2023-01-04,IT Manager - Support,John Thomas,lyla.wong@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,Resignation,Run vote behind factor father.,IT/IS,Underground,22-04-1975,CT,Laborer,Female,25760,Other,Single,Fully Meets,2,2237,08-06-2023,2,5,2,10-May-23,Leadership Development,External,Completed,West Maria,Robert Liu,3,240.77,1,359
1811,Shyanne,Livingston,2021-03-04,2021-12-06,IT Manager - Infra,April Burns,shyanne.livingston@bilearner.com,TNS,Active,Part-Time,Zone B,Temporary,Resignation,Office little different tax down top.,IT/IS,Project Management - Con,17-01-1972,CT,Purchasing,Male,55252,Hispanic,Widowed,Fully Meets,2,2238,28-03-2023,4,4,3,14-Apr-23,Communication Skills,External,Completed,Lauriemouth,Mr. Tyler Daniels,5,905.56,1,277
1812,Dario,Whitney,2023-03-10,2023-04-04,IT Manager - DB,Sean Hill,dario.whitney@bilearner.com,SVG,Active,Full-Time,Zone C,Part-Time,Retirement,Future where and.,IT/IS,Catv,11-12-1962,MA,Manager,Male,62468,Asian,Divorced,Fully Meets,5,2239,31-12-2022,1,3,4,11-Apr-23,Technical Skills,Internal,Passed,Robertmouth,Gina Smith,4,273.84,1,25
1813,Pedro,Nelson,2018-12-05,,IT Support,Erika Green,pedro.nelson@bilearner.com,SVG,Active,Part-Time,Zone B,Part-Time,Unk,,IT/IS,Finance & Accounting,28-11-1997,MA,Accounting,Female,91567,Hispanic,Married,Fully Meets,2,2240,22-08-2022,2,4,5,17-Mar-23,Communication Skills,Internal,Incomplete,Tarabury,Denise Carter,4,980.41,0,1705
1814,Carlo,Carr,2021-06-24,,IT Support,David Velasquez,carlo.carr@bilearner.com,EW,Active,Part-Time,Zone C,Part-Time,Unk,,IT/IS,Technology / It,01-06-1981,MA,Engineer,Female,5139,Hispanic,Married,Fully Meets,2,2241,30-01-2023,4,4,4,26-Jan-23,Communication Skills,External,Failed,Maryfurt,Robert Stevens,5,834.95,0,773
